Roster

  System.X
  CardiacOutput.CO
  CardiacOutput.RAP
  CardiacOutput.MCFP
  CardiacOutput.Slope
  FluidVolumes.AP
  FluidVolumes.BV
  FluidVolumes.ECFV
  FluidVolumes.RPP
  FluidVolumes.UO
  FlowAutoregulation.TPR
  BaroreceptorReflex.AFFNA
  BaroreceptorReflex.SYMEnd
  CardiacOutput.V0
  CardiacOutput.slope_a
  CardiacOutput.slope_b
  CardiacOutput.SlopeB
  CardiacOutput.HSBasic
  FluidVolumes.RDrop
  FluidVolumes.Intake
  FlowAutoregulation.KAUTO
  BaroreceptorReflex.CDROP
  BaroreceptorReflex.KBARO
  CardiacOutput.StarlingA
  CardiacOutput.Starlingm
  CardiacOutput.StarlingS
  FluidVolumes.FluidA
  FluidVolumes.Fluidm
  FluidVolumes.FluidS
  FluidVolumes.Urinem
  FlowAutoregulation.AutoA
  FlowAutoregulation.Autom
  FlowAutoregulation.AutoS
  BaroreceptorReflex.AffNaA
  BaroreceptorReflex.AffNam
  BaroreceptorReflex.AffNaS
  BaroreceptorReflex.SympsA
  BaroreceptorReflex.Sympsm
  BaroreceptorReflex.SympsS
  BaroreceptorReflex.SympsB
  CardiacOutput.RVRa
  CardiacOutput.RVRb
0.00,7330.157,-0.600,11.020,0.006491,125.6,5717.3,15000.0,125.551,2.228,0.017,2.043,1.020,4020,0.3553,0.6584,0.0064,1,0.0,0.702,0.00049,0.0,0.00055,14615.9,1.9,3.5,7726.515,3.658,11270.463,0.050,0.041,11.203,5032.605,2.135,4.189,31.339,0.917,3.529,0.448,1.016,0.03812,0.00093,
28800.00,4738.077,-1.687,6.333,0.006514,92.4,4991.7,13285.3,92.404,0.601,0.020,1.410,1.032,4020,0.3553,0.6584,0.0064,1,0.0,0.702,0.00049,0.0,0.00055,14615.9,1.9,3.5,7726.515,3.658,11270.463,0.050,0.041,11.203,5032.605,2.135,4.189,31.339,0.917,3.529,0.448,1.016,0.03812,0.00093,
28805.00,4165.103,-1.942,5.253,0.006586,86.7,4817.0,12935.8,86.687,0.314,0.021,1.044,1.060,4020,0.3553,0.6584,0.0064,1,0.0,0.702,0.00049,0.0,0.00055,14615.9,1.9,3.5,7726.515,3.658,11270.463,0.050,0.041,11.203,5032.605,2.135,4.189,31.339,0.917,3.529,0.448,1.016,0.03812,0.00093,
28810.00,3339.033,-2.273,4.099,0.006672,84.2,4633.9,12587.8,84.181,0.190,0.025,0.860,1.100,4020,0.3553,0.6584,0.0064,1,0.0,0.702,0.00049,0.0,0.00055,14615.9,1.9,3.5,7726.515,3.658,11270.463,0.050,0.041,11.203,5032.605,2.135,4.189,31.339,0.917,3.529,0.448,1.016,0.03812,0.00093,
28815.00,2695.218,-2.625,2.986,0.007063,80.5,4442.2,12240.3,80.473,0.019,0.030,0.586,1.272,4020,0.3553,0.6584,0.0064,1,0.0,0.702,0.00049,0.0,0.00055,14615.9,1.9,3.5,7726.515,3.658,11270.463,0.050,0.041,11.203,5032.605,2.135,4.189,31.339,0.917,3.529,0.448,1.016,0.03812,0.00093,
28820.00,2088.698,-3.022,1.819,0.008160,75.8,4242.4,11893.8,75.839,0.000,0.036,0.296,1.761,4020,0.3553,0.6584,0.0064,1,0.0,0.702,0.00049,0.0,0.00055,14615.9,1.9,3.5,7726.515,3.658,11270.463,0.050,0.041,11.203,5032.605,2.135,4.189,31.339,0.917,3.529,0.448,1.016,0.03812,0.00093,
0.00,5981.216,2.207,11.744,0.005805,102.4,5702.7,15000.0,102.446,1.775,0.017,1.105,0.590,3680,0.3497,0.6600,0.0067,1,0.0,0.835,0.00049,0.0,0.00059,13277.6,2.0,3.3,7881.105,3.543,11431.837,0.047,0.035,10.490,4619.007,2.164,3.628,41.963,1.029,3.466,0.455,0.545,0.03745,0.00094,
28800.00,5299.221,0.718,9.169,0.005844,91.9,5248.5,13889.8,91.910,0.916,0.017,1.045,0.599,3680,0.3497,0.6600,0.0067,1,0.0,0.835,0.00049,0.0,0.00059,13277.6,2.0,3.3,7881.105,3.543,11431.837,0.047,0.035,10.490,4619.007,2.164,3.628,41.963,1.029,3.466,0.455,0.545,0.03745,0.00094,
28805.00,4974.575,0.246,8.251,0.005860,91.0,5087.5,13539.4,90.983,0.835,0.018,1.001,0.608,3680,0.3497,0.6600,0.0067,1,0.0,0.835,0.00049,0.0,0.00059,13277.6,2.0,3.3,7881.105,3.543,11431.837,0.047,0.035,10.490,4619.007,2.164,3.628,41.963,1.029,3.466,0.455,0.545,0.03745,0.00094,
28810.00,4599.778,-0.329,7.334,0.005922,88.8,4918.0,13189.4,88.777,0.640,0.019,0.892,0.636,3680,0.3497,0.6600,0.0067,1,0.0,0.835,0.00049,0.0,0.00059,13277.6,2.0,3.3,7881.105,3.543,11431.837,0.047,0.035,10.490,4619.007,2.164,3.628,41.963,1.029,3.466,0.455,0.545,0.03745,0.00094,
